ambito,cod_localidad,nombre_mapa,localidad,periodo,anio,mes,vigente_snapshot,comprometido_acumulado_anio,girado_acumulado_anio,giro_mes,compromiso_mes
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202403,2024,3,84114.13,40916.802,6961.353,2307.99,2844.023
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202404,2024,4,84114.13,41625.124,15073.767,8112.414,708.322
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202405,2024,5,84114.13,46057.057,18425.294,3351.527,4431.933
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202406,2024,6,84114.13,65988.523,25293.191,6867.897,19931.466
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202407,2024,7,84249.13,71760.196,31264.707,5971.516,5771.673
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202408,2024,8,84249.13,72130.992,37017.898,5753.191,370.796
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202409,2024,9,86249.13,73714.396,39281.625,2263.727,1583.404
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202410,2024,10,86249.13,75878.349,45503.633,6222.008,2163.953
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202411,2024,11,86249.13,77996.463,48863.157,3359.524,2118.114
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202412,2024,12,86249.13,82916.904,50653.603,1790.447,4920.441
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202501,2025,1,98001.031,32446.664,3659.354,3659.354,32446.664
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202502,2025,2,98001.031,38787.482,7133.797,3474.443,6340.817
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202503,2025,3,98001.031,40330.442,9170.51,2036.714,1542.961
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202504,2025,4,98001.031,41200.846,10517.471,1346.961,870.404
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202505,2025,5,91952.449,43030.216,12239.101,1721.63,1829.369
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202506,2025,6,98077.848,48351.47,18045.975,5806.874,5321.255
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202507,2025,7,98077.848,50668.097,20467.56,2421.586,2316.626
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202508,2025,8,99889.333,62081.998,34713.836,14246.275,11413.902
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202509,2025,9,99889.333,62646.876,36997.234,2283.398,564.878
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202510,2025,10,99889.333,64338.751,38812.254,1815.02,1691.875
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202511,2025,11,99648.381,82210.215,41253.381,2441.127,17871.464
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202512,2025,12,97973.265,97920.927,47550.705,6297.324,15710.713
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202601,2026,1,112781.833,62887.641,1420.385,1420.385,62887.641
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202602,2026,2,112781.833,67240.207,5945.979,4525.594,4352.567
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202603,2026,3,112781.833,67342.921,8270.8,2324.821,102.713
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202604,2026,4,107759.693,66455.055,13058.689,4787.89,-887.866
Fondo de Desarrollo Local,3,SANTA FE,Santa Fe,202605,2026,5,107759.693,66269.284,16623.594,3564.905,-185.771
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202401,2024,1,187380.274,17144.521,4437.269,4437.269,17144.521
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202402,2024,2,187380.274,44059.305,10744.813,6307.543,26914.785
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202403,2024,3,187380.274,54582.657,17183.35,6438.537,10523.351
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202404,2024,4,185888.699,56820.119,21281.227,4097.878,2237.462
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202405,2024,5,185888.699,79235.156,27503.242,6222.015,22415.037
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202406,2024,6,185888.699,95538.793,47827.432,20324.19,16303.638
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202407,2024,7,186793.699,108691.543,53789.434,5962.002,13152.75
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202408,2024,8,186793.699,109946.81,58360.209,4570.775,1255.267
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202409,2024,9,186793.699,117791.027,67438.345,9078.136,7844.217
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202410,2024,10,186793.699,122444.087,75932.461,8494.115,4653.06
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202411,2024,11,186793.699,133151.165,81645.135,5712.675,10707.078
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202412,2024,12,186793.699,184551.186,90254.057,8608.922,51400.021
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202501,2025,1,229373.978,24527.556,4578.203,4578.203,24527.556
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202502,2025,2,229373.978,101420.89,13208.274,8630.072,76893.333
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202503,2025,3,229373.978,111141.322,21591.427,8383.153,9720.432
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202504,2025,4,225168.956,118809.863,28159.685,6568.257,7668.541
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202505,2025,5,225168.956,125330.957,37510.578,9350.894,6521.094
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202506,2025,6,225168.956,126547.14,45206.756,7696.178,1216.183
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202507,2025,7,225168.956,139286.781,50796.72,5589.963,12739.64
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202508,2025,8,225168.956,146239.459,73064.015,22267.295,6952.679
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202509,2025,9,225168.956,168345.178,83522.013,10457.998,22105.718
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202510,2025,10,226582.868,184879.12,91613.267,8091.253,16533.942
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202511,2025,11,226582.868,200870.102,100865.184,9251.917,15990.982
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202512,2025,12,222437.193,221851.301,112308.439,11443.255,20981.199
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202601,2026,1,240261.742,50062.324,19895.516,19895.516,50062.324
Fondo de Desarrollo Local,4,SAN CRISTOBAL,San Cristóbal,202602,2026,2,240261.742,156102.184,24558.695,4663.179,106039.86
