cod_localidad,localidad,anio,mes,ValorVigente,ValorCompromiso,ValorGiros,giro_mes,compromiso_mes
5,Usme,2024,6,191785.668452,99905.928862,38512.797823,8311.426066,8630.941021999999
5,Usme,2024,7,191785.668452,121131.772744,41476.140385,2963.342561999998,21225.843882
5,Usme,2024,8,191785.668452,131076.536859,56430.888588,14954.748203000003,9944.764115000013
5,Usme,2024,9,191785.668452,137171.831508,65127.959535,8697.070947,6095.294648999989
5,Usme,2024,10,191785.668452,141298.876977,88592.515698,23464.556163,4127.045469000004
5,Usme,2024,11,191785.668452,145924.570025,94921.450161,6328.934462999998,4625.693047999986
5,Usme,2024,12,191785.668452,182434.473468,103541.01042,8619.560259000005,36509.90344300002
5,Usme,2025,1,220190.843,79449.185243,3602.1482779999997,3602.1482779999997,79449.185243
5,Usme,2025,2,220190.843,81479.590116,13217.697739000001,9615.549461000002,2030.4048730000068
5,Usme,2025,3,208554.734048,88091.282316,15806.529948,2588.8322089999983,6611.69219999999
5,Usme,2025,4,208554.734048,96116.757796,23803.002783,7996.4728350000005,8025.475480000008
5,Usme,2025,5,208554.734048,107176.241139,30507.204813,6704.20203,11059.483343
5,Usme,2025,6,208554.734048,107348.641805,44447.628536000004,13940.423723000004,172.40066600000137
5,Usme,2025,7,208554.734048,115071.210452,55918.684983,11471.056446999995,7722.568646999993
5,Usme,2025,8,208554.734048,131998.700603,72180.369412,16261.684429,16927.490151000005
5,Usme,2025,9,210302.118145,143582.655049,79809.691381,7629.321968999997,11583.954445999989
5,Usme,2025,10,210302.118145,144813.63041,90296.28659700001,10486.595216000016,1230.975361000019
5,Usme,2025,11,210302.118145,148391.490983,98520.022066,8223.735468999992,3577.8605729999836
5,Usme,2025,12,206034.505145,202678.530245,110374.684139,11854.662073,54287.039262000006
5,Usme,2026,1,231248.05,63243.701243,1520.311103,1520.311103,63243.701243
5,Usme,2026,2,231248.05,120585.461466,7729.567125,6209.256022,57341.76022299999
5,Usme,2026,3,231248.05,120896.66819899999,14698.105883,6968.538758000001,311.2067329999991
5,Usme,2026,4,231248.05,125840.90451,24647.334518,9949.228635,4944.236311000001
5,Usme,2026,5,219387.134106,126238.48992300002,31274.57864,6627.244122,397.5854130000225
6,Tunjuelito,2024,1,90409.656,32585.674142,481.48179600000003,481.48179600000003,32585.674142
6,Tunjuelito,2024,2,90409.656,34414.163309,7119.756432,6638.274636,1828.4891670000034
6,Tunjuelito,2024,3,90409.656,37980.777204,10870.963539,3751.207107,3566.613894999995
6,Tunjuelito,2024,4,90409.656,41160.995999,14533.37036,3662.4068210000005,3180.2187950000007
6,Tunjuelito,2024,5,80047.831573,41266.443325,18551.414943,4018.044582999999,105.44732600000134
6,Tunjuelito,2024,6,83047.831573,42246.680403,22490.512356,3939.0974129999995,980.2370779999983
6,Tunjuelito,2024,7,83047.831573,50529.911118,27162.357023,4671.844667000001,8283.230715000005
6,Tunjuelito,2024,8,83047.831573,51925.458236,31760.718166,4598.361142999998,1395.547117999995
6,Tunjuelito,2024,9,83047.831573,56594.249149,38039.978897,6279.260731000002,4668.790913000004
6,Tunjuelito,2024,10,83047.831573,61140.257228,42383.708496,4343.729598999998,4546.008078999999
6,Tunjuelito,2024,11,83047.831573,68427.677203,47519.738507,5136.030011000003,7287.419974999997
6,Tunjuelito,2024,12,83047.831573,83044.10429,52931.963271,5412.224763999999,14616.427087000004
6,Tunjuelito,2025,1,94544.731,30394.895419,1131.077331,1131.077331,30394.895419
6,Tunjuelito,2025,2,94544.731,33678.880217,4835.025812,3703.948481,3283.9847979999977
6,Tunjuelito,2025,3,86197.275019,39068.343807,6840.060847,2005.0350349999999,5389.463589999999
6,Tunjuelito,2025,4,86197.275019,44865.147228,9630.878726,2790.817879000001,5796.803421000004
6,Tunjuelito,2025,5,90390.674876,46883.425896,16493.081118,6862.202391999997,2018.278667999999
6,Tunjuelito,2025,6,90390.674876,51343.657135,24441.073936,7947.992818000002,4460.231239000001
6,Tunjuelito,2025,7,90390.674876,52953.224350000004,27976.593234,3535.5192979999993,1609.5672150000028
6,Tunjuelito,2025,8,90390.674876,57970.22807,37154.664887,9178.071652999999,5017.003719999993
6,Tunjuelito,2025,9,92121.791747,59758.486077,41881.329007,4726.664120000001,1788.258007000004
6,Tunjuelito,2025,10,92121.791747,61797.882819,44842.390353,2961.0613460000022,2039.3967419999972
6,Tunjuelito,2025,11,92121.791747,72340.491278,47387.305484000004,2544.9151310000016,10542.608459000003
6,Tunjuelito,2025,12,90292.817747,89012.262806,53760.101883,6372.796398999999,16671.771527999997
6,Tunjuelito,2026,1,96584.51,47972.486433,1044.695914,1044.695914,47972.486433
6,Tunjuelito,2026,2,96584.51,50125.875034,3970.013872,2925.317958,2153.3886009999987
6,Tunjuelito,2026,3,88886.242923,50063.704049,5766.511609,1796.4977370000001,-62.17098499999702
6,Tunjuelito,2026,4,88886.242923,50246.444051,9765.796139,3999.28453,182.74000199999864
6,Tunjuelito,2026,5,88886.242923,49943.80248,13237.786207,3471.990067999999,-302.6415710000001
7,Bosa,2024,1,246510.057,92345.785113,7053.143633,7053.143633,92345.785113
7,Bosa,2024,2,239877.06065499998,95137.04089599999,15257.666038,8204.522405,2791.255782999986
7,Bosa,2024,3,239877.06065499998,96514.133302,20899.366469,5641.700431000001,1377.0924060000107
7,Bosa,2024,4,239877.06065499998,97332.700643,27200.421061,6301.054592,818.5673410000018
7,Bosa,2024,5,239877.06065499998,99430.083139,34900.248149,7699.827087999998,2097.382495999991
7,Bosa,2024,6,241547.06065499998,102570.424277,39503.537902,4603.289752999997,3140.3411380000034
7,Bosa,2024,7,241547.06065499998,108077.659392,42083.880257,2580.3423550000007,5507.235115000003
7,Bosa,2024,8,241547.06065499998,129755.013744,45943.117007,3859.2367500000037,21677.354351999995
7,Bosa,2024,9,241797.06065499998,146510.486005,66512.897788,20569.780781,16755.472261000017
7,Bosa,2024,10,241797.06065499998,149037.396641,86099.632691,19586.734903000004,2526.910635999986
7,Bosa,2024,11,241797.06065499998,156593.772623,91879.971066,5780.338374999992,7556.375981999998
7,Bosa,2024,12,241797.06065499998,238976.03399,100926.476963,9046.505896999995,82382.261367
7,Bosa,2025,1,302711.06,136402.847359,2309.361108,2309.361108,136402.847359
