CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo,CodigoBPIN,mes_ponderado,pct_valor_Q4,n_contratos,grupo
7922,Fundación Gilberto Alzate Avendaño,CONSOLIDACIÓN DEL DISTRITO CREATIVO EN EL BRONX PARA LA RE,2,46448.69,17.331749076238747,57.464634632322245,1,-26.36688106074756,2024110010053,3.157242022238799,3.905478501462267,10.0,<25% en Q4
7924,Fundación Gilberto Alzate Avendaño,CONSOLIDACIÓN DEL ECOSISTEMA DE LA ECONOMÍA CULTURAL Y CRE,4,12186.84,27.95565386224403,29.211099842124785,1,-15.742976274742272,2024110010054,3.405302540911698,3.270499736348921,21.0,<25% en Q4
7925,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO DE ESPACIOS DE TRANSFORMACIÓN CULTURAL  ME,2,6988.77,35.96422721824441,28.481692772834133,0,-7.734402918741893,2024110010052,3.0466708471146804,0.8868718678532107,31.0,<25% en Q4
7926,Fundación Gilberto Alzate Avendaño,FORTALECIMIENTO DEL ECOSISTEMA ARTÍSTICO Y CULTURAL EN EL ,2,12730.24,19.94864084969149,29.248388090091,0,-23.749989287294817,2024110010051,5.053618427930575,1.0438898899365534,53.0,<25% en Q4
7927,Instituto para la Economía Social,FORTALECIMIENTO PARA LA INTEGRACIÓN ECONÓMICA Y PRODUCTIVA,4,5887.13,13.56099763119822,18.411857730337196,0,-30.137632505788083,2024110010025,6.755247812134052,6.696664192560267,47.0,<25% en Q4
7928,Departamento Administrativo de la Defensoría del Espacio Público,CONSOLIDACIÓN DE LA DEFENSA DEL ESPACIO PÚBLICO Y LA APROP,4,27748.07,22.748968657438876,18.265558649664644,0,-20.94966147954743,2024110010010,3.633067070281384,2.960359061961728,333.0,<25% en Q4
7929,"Secretaría Distrital de Cultura, Recreación y Deporte",FORTALECIMIENTO DE ALIANZAS ESTRATÉGICAS A NIVEL BILATERAL,2,106791.14,12.632862926019268,22.03694988179731,0,-31.065767210967035,2024110010102,7.26414219961929,4.189074382445038,26.0,<25% en Q4
7930,Instituto Distrital de Protección y Bienestar Animal,DESARROLLO DE UN PROCESO INSTITUCIONAL DE GESTIÓN DEL CONO,3,1979.27,20.9595081592131,15.567860878000475,0,-22.7391219777732,2024110010034,5.648202320896194,17.24352987038555,35.0,<25% en Q4
7933,Instituto Distrital de Protección y Bienestar Animal,OPTIMIZACIÓN DE LOS SERVICIOS PARA LA ATENCIÓN INTEGRAL Y ,6,79227.02,17.543297344358884,18.490030295219988,1,-26.15533279262742,2024110010036,6.526288609397705,35.16177324086611,241.0,25-50%
7934,Instituto para la Economía Social,IMPLEMENTACIÓN DE LA POLÍTICA PÚBLICA DISTRITAL DE VENDEDO,3,51439.74,22.45146666099012,15.700059914766287,0,-21.24716347599618,2024110010019,7.2786122295864715,2.154874255895658,165.0,<25% en Q4
7935,Departamento Administrativo de la Defensoría del Espacio Público,GENERACIÓN DE PROYECTOS DE BIENESTAR CON ENFOQUE DE GÉNERO,2,3700.85,27.65019747715615,13.513922477268734,0,-16.04843265983015,2024110010022,6.910917261432726,0.0,11.0,<25% en Q4
7936,Instituto Distrital de Protección y Bienestar Animal,FORTALECIMIENTO DE LA APROPIACIÓN DE LA CULTURA CIUDADANA ,3,10615.59,27.801255097455723,13.120891066817766,0,-15.89737503953058,2024110010030,5.988809042108365,10.817029905712545,81.0,<25% en Q4
7940,Secretaría Distrital de Integración Social,IMPLEMENTACIÓN DE ESTRATEGIAS DE INCLUSIÓN SOCIAL Y PRODUC,4,38210.73,22.611648731128668,15.678397141326537,0,-21.086981405857635,2024110010043,5.564531929816797,16.307742230453144,485.0,<25% en Q4
7941,Secretaría Distrital de Movilidad,FORTALECIMIENTO DEL COMPONENTE DE GOBERNANZA PARA LA IMPLE,3,32045.54,28.29446472114372,22.211671265330526,0,-15.40416541584258,2024110010100,2.650353804487938,0.0,27.0,<25% en Q4
7942,Secretaría Distrital de Integración Social,FORTALECIMIENTO DE LAS COMISARÍAS DE FAMILIA PARA EL MEJOR,1,5126.09,0.0,2.585986590169115,1,-43.6986301369863,2024110010045,6.22938688611848,32.20041874157536,154.0,25-50%
7944,Veeduría Distrital,CONTRIBUCIÓN A UNA CULTURA DE INNOVACIÓN PÚBLICA PARA LA E,4,2324.63,26.20149648448453,30.17727552341663,0,-17.497133652501773,2024110010023,7.599695882903679,3.2368801091769224,12.0,<25% en Q4
