CodigoProyecto,entidad,proyecto,actividades,programado_mm,avance_fisico,avance_financiero,actividades_en_cero,brecha_vs_tiempo
8187,Secretaría Jurídica Distrital,FORTALECIMIENTO DEL MODELO DE GESTIÓN JURÍDICA Y PREVENCIÓ,2,6760.18,17.5,24.135304089536078,0,-26.198630136986303
8190,Secretaría Distrital de la Mujer,DESARROLLO DE CAPACIDADES DIGITALES PARA POTENCIAR LA INCL,2,4505.99,19.421167950090567,25.90573880545674,0,-24.277462186895736
8193,Secretaría Jurídica Distrital,FORTALECIMIENTO INSTITUCIONAL PARA OPTIMIZAR LA GESTIÓN JU,4,5386.92,12.669065068722016,32.0580220237167,2,-31.029565068264287
8194,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DE LOS COMPONENTES TECNOLÓGICOS PARA LOGRA,6,28164.84,0.31994500945150056,0.8584462045585914,5,-43.3786851275348
8195,Secretaría Jurídica Distrital,FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL Y OPERATIVA ,2,4849.4400000000005,20.015232171137285,34.145385858985776,0,-23.683397965849018
8196,Instituto para la Investigación Educativa y el Desarrollo Pedagógico,GENERACIÓN Y DIVULGACIÓN DE CONOCIMIENTO PARA EL DESARROLL,2,4299.09,22.99290663838161,21.079344698529223,1,-20.705723498604694
8198,Secretaría Distrital de la Mujer,IMPLEMENTACIÓN DE LA ESTRATEGIA DE TRANSFORMACIÓN CULTURAL,5,7514.489999999999,26.301481833394185,22.915061434641608,0,-17.397148303592118
8199,Personería Distrital,MODERNIZACIÓN INSTITUCIONAL DE LA PERSONERÍA DE BOGOTÁ D.C,4,12893.240000000002,8.557952519899073,20.001256472383975,2,-35.14067761708723
8201,Personería Distrital,FORTALECIMIENTO DE LA GESTIÓN DE LA POTESTAD DISCIPLINARIA,6,5709.03,10.242960651945094,29.289914398768268,1,-33.45566948504121
8202,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DEL USO Y APROPIACIÓN DE TIC COMO SOPORTE ,2,5196.8099999999995,19.46481637407417,0.36368464500337705,0,-24.23381376291213
8204,Personería Distrital,FORTALECIMIENTO DEL EJERCICIO DE PREVENCIÓN Y CONTROL A LA,6,17034.809999999998,19.187224660940473,14.37849908510867,0,-24.51140547604583
8205,Secretaría Distrital de la Mujer,FORTALECIMIENTO DE LA ESTRATEGIA DE ACOGIDA  ATENCIÓN Y PR,6,60991.66,21.334204020900266,21.700475114138555,0,-22.364426116086037
8208,Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial,FORTALECIMIENTO DE LA ATENCIÓN Y PARTICIPACIÓN CIUDADANA C,1,1332.2,23.0,15.512685782915478,0,-20.698630136986303
8209,Personería Distrital,FORTALECIMIENTO DEL EJERCICIO DE PROTECCIÓN DE LOS DERECHO,13,25019.149999999998,16.845268471830288,7.671643521062866,1,-26.853361665156015
8210,Secretaría Distrital de la Mujer,CONSOLIDACIÓN DE LA ESTRATEGIA DE JUSTICIA DE GÉNERO COMO ,4,35792.7,27.31304878722123,29.070201465661995,0,-16.385581349765072
8212,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DE LAS LÍNEAS DE SERVICIOS CRAI QUE CONFOR,3,11731.29,15.442973449637677,2.1533863709788097,0,-28.255656687348626
8213,Universidad Distrital Francisco José de Caldas,INCREMENTO DEL ACCESO Y EL IMPACTO SOCIO-CULTURAL DE LOS R,3,9481.970000000001,4.474775108266882,1.7248525359181688,1,-39.22385502871942
8214,"Secretaría Distrital de Seguridad, Convivencia y Justicia",FORTALECIMIENTO DE LAS CAPACIDADES DEL SISTEMA DE OPERACIÓ,5,410417.02,11.000405002697013,11.601402397980474,4,-32.69822513428929
8215,Unidad Administrativa Especial de Servicios Públicos,FORTALECIMIENTO DE LA ACTIVIDAD DE APROVECHAMIENTO EN BOGO,1,52.26,11.78,0.0,0,-31.9186301369863
8216,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DE LAS CAPACIDADES DEL SISTEMA DE INVESTIG,5,29827.440000000002,15.894165733361788,3.077669421177278,0,-27.804464403624515
8217,Universidad Distrital Francisco José de Caldas,FORTALECIMIENTO DE LA CAPACIDAD PARA LA PRESTACIÓN DEL SER,3,43622.920000000006,9.486370926109485,0.2770791134568708,0,-34.212259210876816
8218,Unidad Administrativa Especial de Servicios Públicos,MEJORAMIENTO DE LA INFRAESTRUCTURA Y DE LOS SERVICIOS DE D,1,20442.31,0.0,1.4920035945057089,1,-43.6986301369863
8219,Secretaría Distrital de la Mujer,FORTALECIMIENTO A LA IMPLEMENTACIÓN  SEGUIMIENTO Y COORDIN,1,30483.2,0.0,17.715790993071593,1,-43.6986301369863
8223,Secretaría Distrital de la Mujer,IMPLEMENTACIÓN DE ESTRATEGIAS DE PARTICIPACIÓN  TERRITORIA,1,1697.89,22.5,32.61636501775733,0,-21.198630136986303
8224,"Secretaría Distrital de Seguridad, Convivencia y Justicia",DESARROLLO DE LAS ESTRATEGIAS PARA LA IMPLEMENTACIÓN DEL S,1,6832.53,24.75,16.651957620383666,0,-18.948630136986303
8230,"Secretaría Distrital de Seguridad, Convivencia y Justicia",FORTALECIMIENTO DE LA GESTIÓN ADMINISTRATIVA Y OPERATIVA D,1,87692.39,35.0,0.21514979806115445,0,-8.698630136986303
8232,Secretaría Distrital de la Mujer,IMPLEMENTACIÓN DE ESTRATEGIAS PARA EL EMPODERAMIENTO ECONÓ,1,1996.62,28.822222222222223,24.008073644459138,0,-14.87640791476408
8233,"Secretaría Distrital de Seguridad, Convivencia y Justicia",AMPLIACIÓN DE EQUIPAMIENTOS DE JUSTICIA CON ENFOQUE TERRIT,5,249048.05,1.49292676172329,1.4350202701848098,2,-42.20570337526301
8234,"Secretaría Distrital de Seguridad, Convivencia y Justicia",IMPLEMENTACIÓN DE UN MODELO DE GESTIÓN CARCELARIO Y DE DET,1,1565.43,25.672727272727272,0.889851350747079,0,-18.02590286425903
8235,Instituto Distrital de Gestión de Riesgos y Cambio Climático,FORTALECIMIENTO DE LA CAPACIDAD INSTITUCIONAL DE LA ENTIDA,1,3305.78,21.30952380952381,40.04833957492634,0,-22.389106327462493
8236,Unidad Administrativa Especial de Servicios Públicos,IMPLEMENTACIÓN DE ESTRATEGIAS INTEGRALES PARA LA GESTIÓN D,1,8182.66,17.25,15.171961195992502,0,-26.448630136986303
8237,Unidad Administrativa Especial de Servicios Públicos,IMPLEMENTACIÓN Y TRANSFORMACIÓN DEL RELLENO SANITARIO DOÑA,1,30248.83,0.0,32.13466438206039,1,-43.6986301369863
8238,Instituto Distrital de la Participación y Acción Comunal,IMPLEMENTACIÓN DE ACCIONES DE INNOVACIÓN SOCIAL QUE PROMUE,2,1564.33,4.022392973349613,24.266618935902272,1,-39.67623716363669
8239,Instituto Distrital de Turismo,APOYO A PROYECTOS TURÍSTICOS QUE CONTRIBUYAN AL DESARROLLO,2,4993.629999999999,4.4985111031454075,6.132012183521807,1,-39.20011903384089
