cod_localidad,localidad,anio,mes_corte,vigente,comprometido,girado,giro_mes,compromiso_mes,giro_diciembre,giro_q4,pct_comprometido,pct_girado,pct_girado_de_comprometido,concentracion_diciembre,concentracion_q4,anio_completo
7,Bosa,2026,5,319395.464853,207346.159422,70615.437496,13180.170460999994,-2272.6654010000057,,,64.91831670729262,22.109092102638453,34.05678585648667,,,False
8,Kennedy,2024,12,301239.588684,287866.5791,143407.370683,15823.650070999982,51464.20962999997,15823.650070999982,48983.456206999996,95.56067326926663,47.60575172389913,49.81730464556037,11.034056335903363,34.15686095750075,True
8,Kennedy,2025,12,330591.796229,327282.174189,188874.52011100002,21354.56143100001,17282.45352499996,21354.56143100001,40152.232671000005,98.99887956151595,57.132246554650486,57.70999309052748,11.306216115572449,21.258681503149745,True
8,Kennedy,2026,5,327345.366078,185835.939523,42644.13543,9372.851554,-85.03211600001669,,,56.77060339956636,13.02726106708923,22.947195004076242,,,False
9,Fontibón,2024,12,96644.407905,92996.711391,50954.665192,4766.381829999998,23312.543464000002,4766.381829999998,15561.403355000002,96.22565175464096,52.72386296999995,54.791900089631845,9.354161806460718,30.53970288365898,True
9,Fontibón,2025,12,103773.204487,102826.976178,53207.387542,4104.188838999995,17982.722708,4104.188838999995,15253.249387999997,99.0881766505355,51.272761407946554,51.74458057571842,7.713569540997096,28.667540528953108,True
9,Fontibón,2026,5,111311.732636,67960.452393,21272.567006,5134.464040000001,198.90025099999912,,,61.0541681308988,19.110803957713358,31.301391113445707,,,False
10,Engativá,2024,12,157883.35154899998,157449.898344,87026.253201,7757.236303999991,34193.42055699999,7757.236303999991,20479.047189000004,99.7254598406055,55.12060160060063,55.27234638847663,8.913673769320514,23.53203365161616,True
10,Engativá,2025,12,184284.099062,184278.957266,125283.80442,32164.76036500001,30498.65046200002,32164.76036500001,51590.071943,99.99720985368454,67.98405562807125,67.98595253562095,25.673518228398645,41.1785642859711,True
10,Engativá,2026,5,169437.091846,100535.58123400001,45582.00502,6343.178089000001,143.42698800000653,,,59.33504886012561,26.902022764548573,45.33917689689018,,,False
11,Suba,2024,12,226740.857782,203995.400898,91831.698986,4923.100342999998,70184.010606,4923.100342999998,28394.439498000007,89.96852305027944,40.50072840171205,45.016553599616145,5.361003223680462,30.92008512477681,True
11,Suba,2025,12,274906.424084,272900.737535,143572.771708,21762.208383999983,27885.98521700001,21762.208383999983,43098.50716599998,99.27041117511786,52.22605189616453,52.609887758030155,15.15761528116224,30.018579883415665,True
11,Suba,2026,5,286621.569827,166145.923462,54291.235674999996,12822.946651999999,4171.963049000013,,,57.96699933026077,18.94178296063666,32.676838855704574,,,False
12,Barrios Unidos,2024,12,66698.150816,60901.551626,32138.744425,4206.712356,20876.719338000003,4206.712356,12915.230045,91.3092055490548,48.18536051120977,52.77163482199257,13.089224334251508,40.18585752514195,True
12,Barrios Unidos,2025,12,78434.142427,78386.865344,47468.426897000005,4349.304775000004,7079.8272200000065,4349.304775000004,11586.233593000004,99.93972384788424,60.520106968951296,60.55660816220329,9.1625214048854,24.408294840148265,True
12,Barrios Unidos,2026,5,77663.954447,44619.697041,12791.781494,3713.1394500000006,-105.5245470000009,,,57.45226000750412,16.470680105182463,28.668463352061604,,,False
13,Teusaquillo,2024,12,45357.46823,45137.986051,16416.061666,1388.1893200000013,16160.898290999998,1388.1893200000013,4791.154475000001,99.51610575377127,36.19263223149261,36.36861788085097,8.45628719143483,29.18577288804393,True
13,Teusaquillo,2025,12,63010.540723,62011.06074,39101.94307,5268.056755999998,5321.065605000003,5268.056755999998,11883.233596000002,98.41378923029116,62.05619348974588,63.05640091200285,13.472621415690682,30.390391533041534,True
13,Teusaquillo,2026,5,57469.705,33277.315895,12711.92455,3119.325693999999,279.5221959999981,,,57.904100769266165,22.119348881293195,38.19996958321389,,,False
14,Los Mártires,2024,12,64597.389186,61047.152869,31996.919257,4688.3744700000025,14133.378188999995,4688.3744700000025,14882.190539,94.5040560280578,49.53283663658437,52.41345051039747,14.652580869873345,46.51132322917059,True
